timestamp,equipment,tag,value,unit,quality
2020-02-01T00:00:00,MetroPT-3 APU,TP2,-0.0120000000000004,bar,
2020-02-01T00:00:00,MetroPT-3 APU,Oil_temperature,53.60000000000001,°C,
2020-02-01T00:00:00,MetroPT-3 APU,Motor_current,0.04,A,
2020-02-01T00:00:10,MetroPT-3 APU,TP2,-0.0139999999999993,bar,
2020-02-01T00:00:10,MetroPT-3 APU,Oil_temperature,53.67500000000001,°C,
2020-02-01T00:00:10,MetroPT-3 APU,Motor_current,0.04,A,
2020-02-01T00:00:19,MetroPT-3 APU,TP2,-0.0120000000000004,bar,
2020-02-01T00:00:19,MetroPT-3 APU,Oil_temperature,53.60000000000001,°C,
2020-02-01T00:00:19,MetroPT-3 APU,Motor_current,0.0424999999999995,A,
2020-02-01T00:00:29,MetroPT-3 APU,TP2,-0.0120000000000004,bar,
2020-02-01T00:00:29,MetroPT-3 APU,Oil_temperature,53.42499999999998,°C,
2020-02-01T00:00:29,MetroPT-3 APU,Motor_current,0.04,A,
2020-02-01T00:00:39,MetroPT-3 APU,TP2,-0.0120000000000004,bar,
2020-02-01T00:00:39,MetroPT-3 APU,Oil_temperature,53.47500000000001,°C,
2020-02-01T00:00:39,MetroPT-3 APU,Motor_current,0.04,A,
2020-02-01T00:00:49,MetroPT-3 APU,TP2,-0.0120000000000004,bar,
2020-02-01T00:00:49,MetroPT-3 APU,Oil_temperature,53.49999999999999,°C,
2020-02-01T00:00:49,MetroPT-3 APU,Motor_current,0.04,A,
2020-02-01T00:00:59,MetroPT-3 APU,TP2,-0.0120000000000004,bar,
2020-02-01T00:00:59,MetroPT-3 APU,Oil_temperature,53.375,°C,
2020-02-01T00:00:59,MetroPT-3 APU,Motor_current,0.04,A,
2020-02-01T00:01:09,MetroPT-3 APU,TP2,-0.0139999999999993,bar,
2020-02-01T00:01:09,MetroPT-3 APU,Oil_temperature,53.55000000000001,°C,
2020-02-01T00:01:09,MetroPT-3 APU,Motor_current,0.04,A,
